600001: Battle_of_Angaur
600002: Battle_of_Angels
600003: Battle_of_Anghiari
600004: Battle_of_Anghiari_(1440)
600005: Battle_of_Angol
600006: Battle_of_Angora
600007: Battle_of_Anguar
600008: Battle_of_Anholt
600009: Battle_of_Ani
600010: Battle_of_Anighiari
600011: Battle_of_Anjar
600012: Battle_of_Anjou
600013: Battle_of_Anjouan
600014: Battle_of_Ankara
600015: Battle_of_Ankokuji
600016: Battle_of_Annaberg
600017: Battle_of_Annan
600018: Battle_of_Annan_Moor
600019: Battle_of_Annual
600020: Battle_of_Antemnae
600021: Battle_of_Antetam
600022: Battle_of_Anthony's_Hill
600023: Battle_of_Antietam
600024: Battle_of_Antietum
600025: Battle_of_Antioch
600026: Battle_of_Antioch_(1097)
600027: Battle_of_Antioch_(145BC)
600028: Battle_of_Antioch_(145_BC)
600029: Battle_of_Antioch_(218)
600030: Battle_of_Antioch_(218AD)
600031: Battle_of_Antioch_(253)
600032: Battle_of_Antioch_(613)
600033: Battle_of_Antitam
600034: Battle_of_Antitum
600035: Battle_of_Antrim
600036: Battle_of_Antukyah
600037: Battle_of_Anzen
600038: Battle_of_Anzio
600039: Battle_of_Aong
600040: Battle_of_Ap_Bac
600041: Battle_of_Apache_Pass
600042: Battle_of_Apple_River_Fort
600043: Battle_of_Appomattox
600044: Battle_of_Appomattox_Court_House
600045: Battle_of_Appomattox_Courthouse
600046: Battle_of_Appomattox_Station
600047: Battle_of_Aqaba
600048: Battle_of_Aquae_Sextae
600049: Battle_of_Aquae_Sextiae
600050: Battle_of_Aquia_Creek
600051: Battle_of_Aquilonia
600052: Battle_of_Aquilonia_(293_BC)
600053: Battle_of_Arachova
600054: Battle_of_Aranzueque
600055: Battle_of_Arara
600056: Battle_of_Araure
600057: Battle_of_Arausio
600058: Battle_of_Arawe
600059: Battle_of_Arbedo
600060: Battle_of_Arbela
600061: Battle_of_Arcadiopolis
600062: Battle_of_Arcadiopolis_(1194)
600063: Battle_of_Arcis-sur-Aube
600064: Battle_of_Arcis_sur_Aube
600065: Battle_of_Arcola
600066: Battle_of_Arcole
600067: Battle_of_Arcole_(1796)
600068: Battle_of_Ardennes
600069: Battle_of_Ardennes_(1914)
600070: Battle_of_Ardennes_(1944)
600071: Battle_of_Ardnocher
600072: Battle_of_Ardres
600073: Battle_of_Ardrianople
600074: Battle_of_Ardscull
600075: Battle_of_Arfderydd
