2500001: Japanese_dictionary
2500002: Japanese_diet
2500003: Japanese_diplomacy_1920-36
2500004: Japanese_diplomatic_missions
2500005: Japanese_divisions_wwii
2500006: Japanese_doctrines_in_the_Showa_Period
2500007: Japanese_dogwood
2500008: Japanese_dolls
2500009: Japanese_domestic_market
2500010: Japanese_dragon
2500011: Japanese_drama
2500012: Japanese_drama_No
2500013: Japanese_dreadnought_battleships
2500014: Japanese_drum
2500015: Japanese_drums
2500016: Japanese_dwarf_flyin_squirrel
2500017: Japanese_dwarf_flying_squirrel
2500018: Japanese_dynasties
2500019: Japanese_economic_miracle
2500020: Japanese_economy
2500021: Japanese_education_system_(Meiji_Period_to_1941)
2500022: Japanese_educational_system
2500023: Japanese_eel
2500024: Japanese_eggplant
2500025: Japanese_election_results
2500026: Japanese_elections
2500027: Japanese_electronic_dictionaries
2500028: Japanese_elm
2500029: Japanese_embassies_to_China
2500030: Japanese_embassy_(Bratislava)
2500031: Japanese_embassy_hostage_crisis
2500032: Japanese_emigration
2500033: Japanese_emperor
2500034: Japanese_empire
2500035: Japanese_employment_law
2500036: Japanese_empresses
2500037: Japanese_en
2500038: Japanese_encephalitis
2500039: Japanese_encephalitis_virus
2500040: Japanese_encephalitis_virus_(JEV)_hairpin_structure
2500041: Japanese_encephalitis_virus_hairpin_structure
2500042: Japanese_encyclopedias
2500043: Japanese_era
2500044: Japanese_era_name
2500045: Japanese_era_names
2500046: Japanese_erotica
2500047: Japanese_escort_Hachijo
2500048: Japanese_escort_Ishigaki
2500049: Japanese_escort_Shimushu
2500050: Japanese_etiquette
2500051: Japanese_expansion
2500052: Japanese_expansion_(1941-1942)
2500053: Japanese_expansion_in_mainland_Asia
2500054: Japanese_expansionism
2500055: Japanese_expressway
2500056: Japanese_exterior_Commerce
2500057: Japanese_exterior_Commerce_during_WW2_Times
2500058: Japanese_family
2500059: Japanese_family_name
2500060: Japanese_family_structure
2500061: Japanese_fan
2500062: Japanese_fantail_willow
2500063: Japanese_fascism
2500064: Japanese_fashion
2500065: Japanese_feminism
2500066: Japanese_fencing
2500067: Japanese_festival
2500068: Japanese_festivals
2500069: Japanese_fiction
2500070: Japanese_film
2500071: Japanese_film_director
2500072: Japanese_film_directors
2500073: Japanese_films
2500074: Japanese_films:_1898_-_1919
2500075: Japanese_films_of_1950
2500076: Japanese_films_of_1951
2500077: Japanese_films_of_1952
2500078: Japanese_films_of_1953
2500079: Japanese_films_of_1954
2500080: Japanese_films_of_1955
2500081: Japanese_films_of_1956
2500082: Japanese_films_of_1957
2500083: Japanese_films_of_1958
2500084: Japanese_films_of_1959
2500085: Japanese_films_of_1960
2500086: Japanese_films_of_1961
2500087: Japanese_films_of_1962
2500088: Japanese_films_of_1963
2500089: Japanese_films_of_1964
2500090: Japanese_films_of_1965
2500091: Japanese_films_of_1966
2500092: Japanese_films_of_1967
2500093: Japanese_films_of_1968
2500094: Japanese_films_of_1969
2500095: Japanese_films_of_1970
2500096: Japanese_films_of_1971
2500097: Japanese_films_of_1972
2500098: Japanese_films_of_1973
2500099: Japanese_films_of_1974
2500100: Japanese_films_of_1975
2500101: Japanese_films_of_1976
2500102: Japanese_films_of_1977
2500103: Japanese_films_of_1978
2500104: Japanese_films_of_1979
2500105: Japanese_films_of_1980
2500106: Japanese_films_of_1981
2500107: Japanese_films_of_1982
2500108: Japanese_films_of_1983
2500109: Japanese_films_of_1984
2500110: Japanese_films_of_1985
2500111: Japanese_films_of_1986
2500112: Japanese_films_of_1987
2500113: Japanese_films_of_1988
2500114: Japanese_films_of_1989
2500115: Japanese_films_of_1990
2500116: Japanese_films_of_1991
2500117: Japanese_films_of_1992
2500118: Japanese_films_of_1993
2500119: Japanese_films_of_1994
2500120: Japanese_films_of_1995
2500121: Japanese_films_of_1996
2500122: Japanese_films_of_1997
2500123: Japanese_films_of_1998
2500124: Japanese_films_of_1999
2500125: Japanese_films_of_2000
2500126: Japanese_films_of_2001
2500127: Japanese_films_of_2002
2500128: Japanese_films_of_2003
2500129: Japanese_films_of_2004
2500130: Japanese_films_of_2005
2500131: Japanese_films_of_2006
2500132: Japanese_films_of_2007
2500133: Japanese_films_of_2008
2500134: Japanese_films_of_the_1920s
2500135: Japanese_films_of_the_1930s
2500136: Japanese_films_of_the_1940s
2500137: Japanese_films_of_the_1950s
2500138: Japanese_films_of_the_1960s
2500139: Japanese_films_of_the_1970s
2500140: Japanese_films_of_the_1980s
2500141: Japanese_films_of_the_1990s
2500142: Japanese_films_of_the_2000s
2500143: Japanese_finances_before_and_during_WWII
2500144: Japanese_finances_during_WWII
2500145: Japanese_financial_sector
2500146: Japanese_financial_system
2500147: Japanese_flag
2500148: Japanese_floats
2500149: Japanese_flounder
2500150: Japanese_flower_arrangement
2500151: Japanese_flowering_cherry
2500152: Japanese_flowering_fern
2500153: Japanese_flute
2500154: Japanese_folklore
2500155: Japanese_folktales
2500156: Japanese_food
2500157: Japanese_football_Club
2500158: Japanese_football_champions
2500159: Japanese_football_club
2500160: Japanese_football_league_system
2500161: Japanese_foreign_policy_in_Southeast_Asia
2500162: Japanese_foreign_policy_on_Africa
2500163: Japanese_foreign_policy_on_South-East_Asia
2500164: Japanese_foreign_policy_on_Southeast_Asia
2500165: Japanese_foreign_relations_with_Russia
2500166: Japanese_forest_grass
2500167: Japanese_forest_rat_snake
2500168: Japanese_frigate_Fuso_(1877)
2500169: Japanese_funeral
2500170: Japanese_game_show
2500171: Japanese_game_shows
2500172: Japanese_games
2500173: Japanese_garden
2500174: Japanese_gardening
2500175: Japanese_gardens
2500176: Japanese_gateway
2500177: Japanese_gelatine
2500178: Japanese_general_election,_1890
2500179: Japanese_general_election,_1892
2500180: Japanese_general_election,_1924
2500181: Japanese_general_election,_1928
2500182: Japanese_general_election,_1930
2500183: Japanese_general_election,_1932
2500184: Japanese_general_election,_1942
2500185: Japanese_general_election,_1976
2500186: Japanese_general_election,_1979
2500187: Japanese_general_election,_1980
2500188: Japanese_general_election,_1983
2500189: Japanese_general_election,_1986
2500190: Japanese_general_election,_1990
2500191: Japanese_general_election,_1993
2500192: Japanese_general_election,_1996
2500193: Japanese_general_election,_2000
2500194: Japanese_general_election,_2003
2500195: Japanese_general_election,_2005
2500196: Japanese_general_election,_2008
2500197: Japanese_general_election,_2009
2500198: Japanese_general_election,_March_1898
2500199: Japanese_gentian
2500200: Japanese_ghost_stories
2500201: Japanese_ghost_story
2500202: Japanese_giant_flying_squirrel
2500203: Japanese_giant_hornet
2500204: Japanese_giant_salamander
2500205: Japanese_gissu
2500206: Japanese_given_name
2500207: Japanese_glass_fishing_float
2500208: Japanese_glass_fishing_floats
2500209: Japanese_gods
2500210: Japanese_gothic_typeface
2500211: Japanese_government
2500212: Japanese_government-issued_Philippine_fiat_peso
2500213: Japanese_government-issued_dollar_in_Malaya,_North_Borneo,_Sarawak_and_Brunei
2500214: Japanese_grammar
2500215: Japanese_grass_lizard
2500216: Japanese_gulch
2500217: Japanese_gunboat_Akagi
2500218: Japanese_gunboat_Ataka
2500219: Japanese_gunboat_Atami
2500220: Japanese_gunboat_Chiyodagata
2500221: Japanese_gunboat_Futami
2500222: Japanese_gunboat_Heien
2500223: Japanese_gunboat_Hira
2500224: Japanese_gunboat_Hozu
2500225: Japanese_gunboat_Katada
2500226: Japanese_gunboat_Kotaka
2500227: Japanese_gunboat_Seta
2500228: Japanese_gunboat_Sumida
2500229: Japanese_gunboat_Toba
2500230: Japanese_gunboat_Tsukushi
2500231: Japanese_gunboat_Unyo
2500232: Japanese_hair_straightening
2500233: Japanese_handicrafts
2500234: Japanese_hardcore
2500235: Japanese_hardcore_punk
2500236: Japanese_heavy_industry_(1930-1945)
2500237: Japanese_heavy_industry_(1930–1945)
2500238: Japanese_heavy_industry_during_WW2_times
2500239: Japanese_heraldry
2500240: Japanese_high_quality_kitchen_cutlery
2500241: Japanese_hip-hop
2500242: Japanese_hip_hop
2500243: Japanese_historical_figures_in_popular_culture
2500244: Japanese_historical_people_in_popular_culture
2500245: Japanese_history
2500246: Japanese_history.
2500247: Japanese_history_textbook_controversies
2500248: Japanese_history_textbook_controversy
2500249: Japanese_history_textbooks
2500250: Japanese_history_textbooks_content_controversy
2500251: Japanese_history_textbooks_controversies
2500252: Japanese_history_textbooks_controversy
2500253: Japanese_history_textbooks_controversy_and_protests
2500254: Japanese_hold_outs
2500255: Japanese_holdout
2500256: Japanese_holiday
2500257: Japanese_holidays
2500258: Japanese_holly
2500259: Japanese_holly_fern
2500260: Japanese_home
2500261: Japanese_home_islands
2500262: Japanese_homes_and_their_surroundings
2500263: Japanese_honeysuckle
2500264: Japanese_honorific
2500265: Japanese_honorifics
2500266: Japanese_hop
2500267: Japanese_hornets
2500268: Japanese_horror
2500269: Japanese_horseradish
2500270: Japanese_house
2500271: Japanese_house_bat
2500272: Japanese_houses
2500273: Japanese_housing
2500274: Japanese_human_experimentation
2500275: Japanese_human_experimentation_on_the_Chinese
2500276: Japanese_human_experimentations
2500277: Japanese_ideograph
2500278: Japanese_idol
2500279: Japanese_immigrants
2500280: Japanese_imperial_family
2500281: Japanese_imperial_palace
2500282: Japanese_imperial_regalia
2500283: Japanese_imperial_succession_controversy
2500284: Japanese_imperialism
2500285: Japanese_in_Cuba
2500286: Japanese_in_Hawaii
2500287: Japanese_in_Hong_Kong
2500288: Japanese_in_Mangaland
2500289: Japanese_in_Russia
2500290: Japanese_incense
2500291: Japanese_infantry_weapons_in_the_Second_Sino-Japanese_War
2500292: Japanese_infantry_weapons_used_in_the_Second-Sino_Japanese_War
2500293: Japanese_input
2500294: Japanese_input_method
2500295: Japanese_input_methods
2500296: Japanese_instant_noodles
2500297: Japanese_instrument_of_surrender
2500298: Japanese_instruments
2500299: Japanese_interment
2500300: Japanese_internment
2500301: Japanese_internment_camp
2500302: Japanese_internment_camps
2500303: Japanese_internment_in_the_United_States
2500304: Japanese_intonation
2500305: Japanese_invasion_and_occupation
2500306: Japanese_invasion_money
2500307: Japanese_invasion_of_China
2500308: Japanese_invasion_of_China_1937
2500309: Japanese_invasion_of_Hong_Kong
2500310: Japanese_invasion_of_Joseon
2500311: Japanese_invasion_of_Taiwan_(1895)
2500312: Japanese_invasion_of_australia
2500313: Japanese_invasion_of_india
2500314: Japanese_invasion_of_the_Philipines
2500315: Japanese_invasions_of_Korea
2500316: Japanese_invasions_of_Korea_(1592-1598)
2500317: Japanese_invasions_of_Korea_(1592–1598)
2500318: Japanese_iris
2500319: Japanese_ironclad_Kotetsu
2500320: Japanese_ironclad_Kōtetsu
2500321: Japanese_ironclad_warship_Fuso
2500322: Japanese_ironclad_warship_Fusō
2500323: Japanese_islands
2500324: Japanese_ivy
2500325: Japanese_jazz
2500326: Japanese_keyboard
2500327: Japanese_keyboard_layout
2500328: Japanese_kickboxing
2500329: Japanese_kitchen
2500330: Japanese_kitchen_chopsticks
2500331: Japanese_kitchen_knife
2500332: Japanese_kitchen_knives
2500333: Japanese_knife
2500334: Japanese_knives
2500335: Japanese_knot_weed
2500336: Japanese_knotweed
2500337: Japanese_labor_unions
2500338: Japanese_lacquer
2500339: Japanese_lacquerware
2500340: Japanese_land_tax_reform
2500341: Japanese_landmarks
2500342: Japanese_language
2500343: Japanese_language_Wikipedia
2500344: Japanese_language_and_computers
2500345: Japanese_language_classification
2500346: Japanese_language_education_in_India
2500347: Japanese_language_education_in_Kazakhstan
2500348: Japanese_language_education_in_Mongolia
2500349: Japanese_language_education_in_Qatar
2500350: Japanese_language_education_in_Russia
2500351: Japanese_language_education_in_Thailand
2500352: Japanese_language_education_in_Vietnam
2500353: Japanese_language_education_in_the_United_States
2500354: Japanese_lantern
2500355: Japanese_larch
2500356: Japanese_law
2500357: Japanese_legal_system
