5700001: Šuľa
5700002: Šušak
5700003: Šušara
5700004: Šušica
5700005: Šuštarski_most
5700006: Šušvė
5700007: Šuňava
5700008: Švanda_Dudák
5700009: Švanda_the_Bagpipe
5700010: Švanda_the_Bagpiper
5700011: Švargl
5700012: Švargla
5700013: Švarnas
5700014: Švedlár
5700015: Švejk
5700016: Šventoji
5700017: Šventoji,_Lithuania
5700018: Šventoji_(Lithuania)
5700019: Šventoji_(river)
5700020: Šventoji_(town)
5700021: Šventoji_River
5700022: Šventoji_River_(Baltic)
5700023: Švenčionys
5700024: Švenčionys_district
5700025: Švenčionys_district_municipality
5700026: Švenčionėliai
5700027: Šviesa_Vilnius
5700028: Švihov_(Klatovy_District)
5700029: Švitrigaila
5700030: Švitrigaila,_Duke_of_Lithuania
5700031: Švitrigaila,_Grand_Duke_of_Lithuania
5700032: Švitrigaila,_Grand_Prince_of_Lithuania
5700033: Švitrigaila,_Great_Prince_of_Lithuania
5700034: Švitrigaila,_Prince_of_Lithuania
5700035: Švitrigaila_of_Lithuania
5700036: Švošov
5700037: Švyturys
5700038: Švyturys-Utenos_alus
5700039: Švyturys_Klaipėda
5700040: Švábovce
5700041: Švėkšna
5700042: Švėtė
5700043: Švėtė_River
5700044: Šámalova_chata
5700045: Šárka
5700046: Šárka_(Fibich)
5700047: Šárka_(Janáček)
5700048: Šárka_(disambiguation)
5700049: Šárka_(opera)
5700050: Šárka_Kašparkova
5700051: Šárka_Kašparková
5700052: Šárka_Kašpárková
5700053: Šárka_Nováková
5700054: Šárka_Svobodná
5700055: Šárka_Vaňková
5700056: Šárka_Záhrobská
5700057: Šávoľ
5700058: Šíd
5700059: Šípkov
5700060: Šípkové
5700061: Šúrovce
5700062: Šútovo
5700063: Ščara
5700064: Ščavnica
5700065: Ščitarjevo
5700066: Ščučyn
5700067: Šīn
5700068: Šķēde
5700069: Šćepan_Mali
5700070: Šćepan_The_Little
5700071: Šćitarjevo
5700072: Šťastná
5700073: Šťastný
5700074: Šťastný_(disambiguation)
5700075: Šəfarʻam
5700076: Ţ
5700077: Ţaga
5700078: Ţambal
5700079: Ţancuri_River
5700080: Ţapa_River
5700081: Ţapu_River_(Bistriţa)
5700082: Ţapu_River_(Tarcău)
5700083: Ţara_Bârsei
5700084: Ţara_Bîrsei
5700085: Ţara_Moţilor
5700086: Ţara_Năsăudului
5700087: Ţara_Românească
5700088: Ţarcu_Mountains
5700089: Ţarţūs
5700090: Ţarţūs_Governorate
5700091: Ţarţūs_Province,_Syria
5700092: Ţayrū
5700093: Ţebea_River
5700094: Ţefeleica_River
5700095: Ţelna_River
5700096: Ţepeş
5700097: Ţepeş_Vodă
5700098: Ţepeşeni_River
5700099: Ţepu
5700100: Ţepu,_Galaţi
5700101: Ţerova_River_(Brezoviţa)
5700102: Ţerova_River_(Bârzava)
5700103: Ţerova_River_(Caraş)
5700104: Ţeţchea
5700105: Ţibana
5700106: Ţibana_River
5700107: Ţibleş_River
5700108: Ţibleş_River_(Cristeşti)
5700109: Ţibleş_River_(Zagra)
5700110: Ţibrin_River
5700111: Ţibucani
5700112: Ţibăneşti
5700113: Ţibău_River
5700114: Ţichindeal_River
5700115: Ţicleni
5700116: Ţiclău_River
5700117: Ţifeşti
5700118: Ţiflic_River
5700119: Ţigan_River_(Bistricioara)
5700120: Ţigan_River_(Topliţa)
5700121: Ţigana_River
5700122: Ţiganca_River_(Caraş)
5700123: Ţiganca_River_(Siret)
5700124: Ţiganca_River_(Trotuş)
5700125: Ţiganu_River,_Iaz
5700126: Ţiganu_River_(Gilort)
5700127: Ţiganu_River_(Iaz)
5700128: Ţiganu_River_(Jieţ)
5700129: Ţiganu_River_(Sebeş)
5700130: Ţiganu_River_(Şuşiţa)
5700131: Ţigla_River
5700132: Ţigăile_River
5700133: Ţigănaşi
5700134: Ţigăneşti
5700135: Ţintea
5700136: Ţinteşti
5700137: Ţinut
5700138: Ţinutul_Alba-Iulia
5700139: Ţinutul_Argeş
5700140: Ţinutul_Crişuri
5700141: Ţinutul_Dunării
5700142: Ţinutul_Dunǎrii
5700143: Ţinutul_Jiu
5700144: Ţinutul_Mureş
5700145: Ţinutul_Mării
5700146: Ţinutul_Nistru
5700147: Ţinutul_Prut
5700148: Ţinutul_Secuiesc
5700149: Ţinutul_Someş
5700150: Ţinutul_Suceava
5700151: Ţinutul_Timiş
5700152: Ţipăul_Mare_River
5700153: Ţiriac_Holdings
5700154: Ţirād_Khurr
5700155: Ţiţeşti
5700156: Ţolici_River
5700157: Ţuglui
5700158: Ţuglui,_Dolj
5700159: Ţuica
5700160: Ţuică
5700161: Ţurcatele_River
5700162: Ţurlui_River
5700163: Ţuţora
5700164: Ţuţurele_River
5700165: Ţânţăreni
5700166: Ţânţăreni_River
5700167: Ţâţa_River
5700168: Ţînţăreni
5700169: Ţā`ûn_'amwās
5700170: Ţābiyat_al_Jamīl
5700171: Ţăndărei
5700172: Ţărmure
5700173: Ţăudu_River
5700174: Ť
5700175: Ťahanovce
5700176: Ťapešovo
5700177: Ŧ
5700178: Ũ
5700179: Ū
5700180: Ūbu
5700181: Ūbuu
5700182: Ūbû
5700183: Ūbū
5700184: Ūkio_Bankas
5700185: Ūkio_bankas
5700186: Ūla
5700187: Ūla_River
5700188: Ūrakam_Ammathiruvadi_Temple
5700189: Ūsiņš
5700190: Ŭ
5700191: Ŭnjŏng-guyŏk
5700192: Ů
5700193: Ű
5700194: Ų
5700195: Ŵ
5700196: Ŷ
5700197: Ÿ
5700198: Ź
5700199: Ździary
5700200: Źmicier_I
5700201: Źmicier_Žyłunovič
5700202: Źmitrok_Biadula
5700203: Źrebce
5700204: Źrebce,_Lublin_Voivodeship
5700205: Źrebięta
5700206: Źrobki
5700207: Źródła
5700208: Źródła,_Kuyavian-Pomeranian_Voivodeship
5700209: Źródła,_Lesser_Poland_Voivodeship
5700210: Źródła,_Lower_Silesian_Voivodeship
5700211: Ż
5700212: ŻOB
5700213: ŻW
5700214: Żabbar
5700215: Żabce
5700216: Żabczanka
5700217: Żabcze
5700218: Żabia_Wola
5700219: Żabia_Wola,_Gmina_Głusk
5700220: Żabia_Wola,_Gmina_Strzyżewice
5700221: Żabia_Wola_Commune
5700222: Żabianka
5700223: Żabianka,_Lublin_Voivodeship
5700224: Żabice
5700225: Żabice,_Gmina_Chocianów
5700226: Żabice,_Gmina_Grębocice
5700227: Żabickie
5700228: Żabiec
5700229: Żabieniec
5700230: Żabieniec,_Kuyavian-Pomeranian_Voivodeship
5700231: Żabienko
5700232: Żabikowo_Prywatne
5700233: Żabikowo_Rządowe
5700234: Żabików
5700235: Żabików,_Lublin_Voivodeship
5700236: Żabików,_Łódź_Voivodeship
5700237: Żabin
5700238: Żabin,_Lower_Silesian_Voivodeship
5700239: Żabiniec
5700240: Żabiniec,_Kuyavian-Pomeranian_Voivodeship
5700241: Żabiniec,_Podlaskie_Voivodeship
5700242: Żabiniec,_Łódź_Voivodeship
5700243: Żabiniec,_Świętokrzyskie_Voivodeship
5700244: Żabinka
5700245: Żabno
5700246: Żabno,_Kuyavian-Pomeranian_Voivodeship
5700247: Żabno,_Lublin_Voivodeship
5700248: Żabno-Kolonia
5700249: Żabno_(disambiguation)
5700250: Żabno_Commune
5700251: Żabno_k._Chojnic_(PKP_station)
5700252: Żabokrzeki
5700253: Żabokrzeki,_Gmina_Daszyna
5700254: Żabokrzeki,_Gmina_Piątek
5700255: Żaby
5700256: Żaby,_Łódź_Voivodeship
5700257: Żachta
5700258: Żaczki
5700259: Żagary
5700260: Żagań
5700261: Żagań,_Poland
5700262: Żagań_Commune
5700263: Żagań_County
5700264: Żagański
5700265: Żagiew
5700266: Żagliny
5700267: Żaglowiec_Group
5700268: Żagno
5700269: Żagory
5700270: Żakle
5700271: Żakowice
5700272: Żakowice,_Kutno_County
5700273: Żakowice,_Kuyavian-Pomeranian_Voivodeship
5700274: Żakowice,_Łódź_East_County
5700275: Żakowiec
5700276: Żakowola_Poprzeczna
5700277: Żakowola_Radzyńska
5700278: Żakowola_Stara
5700279: Żale
5700280: Żalin
5700281: Żalinowo
5700282: Żaliński
5700283: Żalno
5700284: Żambył_Żabajew
5700285: Żandarmeria_Wojskowa
5700286: Żaqq
5700287: Żar
5700288: Żar,_Łódź_Voivodeship
5700289: Żarczyce_Duże
5700290: Żarczyce_Małe
5700291: Żarczyn
5700292: Żarczyn,_Kuyavian-Pomeranian_Voivodeship
5700293: Żardki
5700294: Żarka_nad_Nysą
5700295: Żarki
5700296: Żarki,_Lesser_Poland_Voivodeship
5700297: Żarki_Commune
5700298: Żarki_Średnie
5700299: Żarnowica
5700300: Żarnowica_Duża
5700301: Żarnowica_Mała
5700302: Żarnowiec
5700303: Żarnowiec,_Subcarpathian_Voivodeship
5700304: Żarnowiec_Commune
5700305: Żarnowiec_Elektrownia_Jądrowa_(PKP_station)
5700306: Żarnowiec_Elektrownia_Wodna_(PKP_station)
5700307: Żarnowiec_Nuclear_Plant
5700308: Żarnowiec_Nuclear_Power_Plant
5700309: Żarnowieckie_Lake
5700310: Żarnowo_Drugie
5700311: Żarnowo_Pierwsze
5700312: Żarnowo_Trzecie
5700313: Żarnów
5700314: Żarnów_Commune
5700315: Żarska_Wieś
5700316: Żarski
5700317: Żary
5700318: Żary,_Lesser_Poland_Voivodeship
5700319: Żary,_Lublin_Voivodeship
5700320: Żary,_Łódź_Voivodeship
5700321: Żary_(disambiguation)
5700322: Żary_Commune
5700323: Żary_County
5700324: Żarów
5700325: Żarów_Commune
5700326: Żarówka
5700327: Żarówka,_Subcarpathian_Voivodeship
5700328: Żałe
5700329: Żałuje
5700330: Żałuję
5700331: Żbijowa
5700332: Żbik_Group
5700333: Żbikowice
5700334: Żdanów
5700335: Żdanów,_Lower_Silesian_Voivodeship
5700336: Żdanów,_Lublin_Voivodeship
5700337: Żdanówek
5700338: Żdżanne
5700339: Żdżarka
5700340: Żdżary
5700341: Żdżary,_Lesser_Poland_Voivodeship
5700342: Żdżary,_Lublin_Voivodeship
5700343: Żdżary,_Opoczno_County
